序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000503,国新健康,10.047392845153809,11.61,1173780224,11368433052.0,11369121292.8,10.468049049377441,58423516,092500,100142,2,2/2,2,软件开发
2,000681,视觉中国,9.992313385009766,28.62,363455568,19354659738.66,20050526332.8,1.8778711557388306,376460153,092500,092500,0,1/1,1,文化传媒
3,002044,美年健康,9.95106029510498,6.74,252292833,26112294205.98,26382071420.8,0.9661840796470642,636358643,092500,092500,0,2/2,2,医疗服务
4,002115,三维通信,9.98641300201416,16.19,913356160,12178045663.080002,13129949600.320002,7.549177169799805,427537198,092500,093103,1,2/2,2,互联网服
5,002131,利欧股份,10.053619384765625,8.21,250578978,48026232742.82001,55596304079.36001,0.5217543840408325,2333595950,092500,092500,0,7/4,2,互联网服
6,002342,巨力索具,10.018214225769043,12.08,195909695,11532655200.0,11596800000.0,1.6987388134002686,364808872,092500,092500,0,8/4,3,通用设备
7,002512,达华智能,9.956709861755371,7.62,704532064,8339722578.84,8477224396.8,8.463947296142578,196708776,092500,093400,2,2/2,2,计算机设
8,002519,银河电子,9.971237182617188,11.47,497968128,12832469237.67,12920162377.12,3.8864946365356445,369745314,092500,093033,1,6/6,6,通信设备
9,002792,通宇通讯,10.003290176391602,66.86,567870656,22586944866.52,35023677099.52,2.5141544342041016,612843507,092500,092500,0,4/3,1,通信设备
10,002931,锋龙股份,10.007833480834961,56.17,22317633,11304410667.76,12273473931.52,0.19742411375045776,1322178721,092500,092500,0,12/12,11,通用设备
11,002969,嘉美包装,10.019906997680664,16.58,71379354,16563433960.359999,16665098375.359999,0.43094539642333984,253860558,092500,092500,0,17/13,1,包装材料
12,003007,直真科技,9.997773170471191,49.4,89134890,3551249218.4,5029908000.0,2.5099587440490723,199598230,092500,092500,0,3/3,3,软件开发
13,300986,志特新材,19.98562240600586,33.38,66899562,13740344355.34,13751691051.84,0.4868841767311096,244993144,092500,092500,0,6/6,6,装修装饰
14,600477,杭萧钢构,10.0,3.96,70882329,9381105954.0,9381105930.24,0.7555860877037048,664687275,092501,092501,0,3/3,3,水泥建材
15,600676,交运股份,10.014727592468262,7.47,38575244,7682842291.679999,7682842291.679999,0.5020959973335266,153970728,092501,092501,0,2/2,2,汽车零部
16,600880,博瑞传播,10.046367645263672,7.12,220165473,7782374846.0,7784524523.52,2.829026937484741,98923022,092501,092501,0,6/3,2,教育
17,600637,东方明珠,9.9849853515625,14.65,1431308176,49251832319.05,49251832421.6,2.9067962169647217,346872825,092502,093302,3,4/4,4,文化传媒
18,600776,东方通信,10.024569511413574,22.39,170499111,21404841432.96,28121841432.96,0.79654461145401,324756493,092502,092502,0,8/4,2,通信设备
19,600783,鲁信创投,10.003067970275879,35.85,420538096,26685280689.9,26685280761.600002,1.5759178400039673,369301927,092502,092502,0,12/10,5,非金属材
20,603496,恒为科技,10.012399673461914,35.49,211837752,11364226034.07,11364226211.52,1.8640755414962769,205279767,092502,092502,0,2/2,2,互联网服
21,603598,引力传媒,9.98843002319336,28.52,46404892,7679377908.0,7687933793.92,0.6042793393135071,304927284,092502,092502,0,6/5,2,文化传媒
22,600828,茂业商业,10.01430606842041,7.69,399293152,13314159791.890001,13318945763.36,3.003412961959839,65736919,092503,094054,4,2/2,2,商业百货
23,603000,人民网,10.023752212524414,23.16,796788576,25607804856.96,25607804856.96,3.111506700515747,232524964,092503,092503,0,1/1,1,文化传媒
24,603305,旭升集团,10.0,21.01,2830085104,24281436761.56,24281436845.600002,11.744482040405273,111894889,092503,132927,6,2/2,2,汽车零部
25,600498,烽火通信,9.992294311523438,42.82,2059356224,54450830745.92,58156731836.16,3.790834426879883,864331762,093000,093000,0,1/1,1,通信设备
