序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,920367,新赣江,30.000001907348633,30.55,30.55,270953952,1276436036.8500001,2164811187.5,21.456144332885742,0.0,是,2.670814275741577,1/1,60日新高,化学制药
2,300078,思创医惠,20.084566116333008,5.68,5.68,1209429824,6323925400.639999,6349514232.32,20.580188751220703,0.0,是,2.180982828140259,1/1,60日新高,互联网服
3,301333,诺思格,20.006277084350586,76.48,76.48,396653744,4372379496.320001,7386534458.88,9.654373168945312,0.0,是,2.3448092937469482,1/1,60日新高,医疗服务
4,688331,荣昌生物,20.004194259643555,114.46,114.46,2368786672,18579819309.12,64522274070.399994,13.075246810913086,0.0,是,2.4406886100769043,1/1,60日新高,生物制品
5,301230,泓博医药,20.0,56.64,56.64,324125456,7114880611.2,7906185307.2,4.555599212646484,0.0,是,0.34822478890419006,3/2,60日新高且近期多次涨停,生物制品
6,301257,普蕊斯,20.0,72.24,72.24,155713162,5441037986.16,5707304584.799999,3.033809185028076,0.0,是,1.2055054903030396,1/1,60日新高,医疗服务
7,300842,帝科股份,19.996673583984375,72.13,72.13,1646885200,9351109197.199999,10479027862.59,18.917293548583984,0.0,是,3.3511180877685547,1/1,60日新高,光伏设备
8,301378,通达海,19.99472427368164,45.49,45.49,611566624,2088652015.19,4394334000.0,29.59739875793457,0.0,是,3.3771846294403076,2/1,60日新高,软件开发
9,300246,宝莱特,19.98166847229004,13.09,13.09,606017856,2765727024.83,3463368339.97,22.34821319580078,0.0,是,2.1177139282226562,1/1,60日新高,医疗器械
10,300063,天龙集团,19.96927833557129,15.62,15.62,5128700160,9786780399.66,11848194114.24,52.808013916015625,0.0,是,2.423471689224243,3/3,60日新高且近期多次涨停,文化传媒
11,301060,兰卫医学,19.9638671875,13.28,13.28,441128800,4783250916.96,5318865866.24,9.775856018066406,0.0,是,2.380462646484375,1/1,60日新高,医疗器械
12,300404,博济医药,19.962860107421875,12.92,12.92,776447296,3627687703.44,4983663848.32,22.334978103637695,0.0,是,2.837822675704956,1/1,60日新高,医疗服务
13,300267,尔康制药,19.94609260559082,4.45,4.45,1643519280,6329643914.95,9178591644.800001,26.961931228637695,0.0,是,9.75094223022461,1/1,60日新高,化学制药
14,300444,双杰电气,17.021276473999023,12.65,12.97,2539655248,7861300742.35,10102607363.2,34.31351089477539,0.0,是,2.9910802841186523,0/0,60日新高,电网设备
15,688277,天智航-U,16.6225528717041,22.03,22.67,1094414640,10045504509.02,10045504464.960001,11.461366653442383,0.0,是,3.2226765155792236,0/0,60日新高,医疗器械
16,688365,光云科技,16.421567916870117,28.5,29.38,2216738192,12136003494.0,12136003608.0,18.354244232177734,0.0,是,2.4829323291778564,2/1,60日新高,互联网服
17,688137,近岸蛋白,15.42936897277832,49.6,51.56,290581264,1620701774.4,3480701774.4,17.782533645629883,0.0,是,9.009048461914062,0/0,60日新高,生物制品
18,300816,艾可蓝,15.019169807434082,69.0,71.99,660044704,3910131399.0,5520000000.0,16.231698989868164,0.0,是,2.8267037868499756,2/1,60日新高,汽车零部
19,300315,掌趣科技,14.907873153686523,6.86,7.16,5867629568,17719569727.02,18574211514.88,34.437435150146484,0.0,是,5.755498886108398,0/0,60日新高,游戏
20,688639,华恒生物,13.790255546569824,41.34,43.6,1720817088,10339782748.62,10339782748.62,16.77667808532715,0.0,是,4.035520553588867,0/0,60日新高,化学制品
21,920227,美登科技,13.468400001525879,89.05,102.02,554324304,1566585410.0,3467740575.0,34.567832946777344,0.16872890293598175,是,2.7582156658172607,0/0,60日新高,互联网服
22,688258,卓易信息,13.13315200805664,149.2,158.26,2427347392,18074421760.399998,18074421760.399998,13.412421226501465,0.0,是,1.7913124561309814,2/1,60日新高,互联网服
23,300342,天银机电,12.489398002624512,53.05,56.59,7316315648,22217279682.149998,22548113116.0,33.898834228515625,0.0,是,1.3736342191696167,2/1,60日新高,家电行业
24,688625,呈和科技,12.288288116455078,62.32,66.6,671501168,11736161666.32,11736161666.32,5.7892937660217285,0.0,是,1.3262405395507812,0/0,60日新高,化学制品
25,688065,凯赛生物,12.144144058227539,62.24,66.6,1093131984,36309449147.36,44893076654.08,3.048133611679077,0.0,是,2.4213151931762695,0/0,60日新高,化学制品
26,300244,迪安诊断,11.895625114440918,29.16,31.27,4645908736,14622546218.76,18224400470.4,30.232168197631836,0.0,是,2.851884603500366,3/2,60日新高且近期多次涨停,医疗服务
27,300164,通源石油,11.664074897766113,7.18,7.72,1670383312,4187453386.04,4225132920.3199997,40.751705169677734,0.0,是,1.5312364101409912,0/0,60日新高,采掘行业
28,300785,值得买,11.606002807617188,69.91,75.17,3851434880,8552389864.349999,13901970038.13,43.64553451538086,0.0,是,1.8032915592193604,2/1,60日新高,互联网服
29,301047,义翘神州,11.047928810119629,82.02,88.63,522526336,9808002534.42,9976645578.84,5.404687404632568,0.0,是,5.720019817352295,0/0,60日新高,生物制品
30,301102,兆讯传媒,10.928512573242188,13.5,14.6,491132624,5481000000.0,5481000000.0,9.017963409423828,0.0,是,4.995743274688721,0/0,60日新高,文化传媒
31,300977,深圳瑞捷,10.919248580932617,21.84,23.63,256248400,2070477492.72,3324631717.68,12.376760482788086,0.0,是,3.4903950691223145,0/0,60日新高,工程咨询
