序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,600676,交运股份,9.854015350341797,9.03,9.04,1367042400,9287291284.32,9287291284.32,14.969301223754883,-0.11061947047710419,092503,49,4/3,15.08515739440918,汽车零部
2,603739,蔚蓝生物,-0.17921146750450134,16.71,18.41,735536432,4228112350.86,4228112350.86,16.58011817932129,0.3001200556755066,093155,1,2/1,11.111111640930176,农牧饲渔
3,300816,艾可蓝,16.04347801208496,80.07,82.8,1481110896,4537452479.969999,6405599999.999999,32.89250564575195,0.0,093624,4,0/0,19.0,汽车零部
4,002223,鱼跃医疗,7.838479995727539,45.4,46.31,2240687360,42683180645.6,45512452531.2,5.284489631652832,0.06612298637628555,093630,3,0/0,9.524940490722656,医疗器械
5,605288,凯迪股份,5.976022720336914,115.8,120.2,229889527,8129034009.599999,8183934789.599999,2.7909834384918213,0.10373444855213165,093637,1,0/0,9.398736953735352,专用设备
6,002842,翔鹭钨业,9.090909004211426,17.4,17.55,1287382560,4671244176.599999,5692800038.4,27.67104721069336,0.0,093727,1,0/0,9.655172348022461,小金属
7,002769,普路通,3.563636541366577,14.24,15.13,1142875792,5311665675.2,5316049003.52,21.218873977661133,0.0,093751,1,3/2,12.218181610107422,物流行业
8,000969,安泰科技,3.4641218185424805,29.27,31.12,6363213824,30257746766.42,30748702603.84,20.377483367919922,0.03417634963989258,094051,4,4/2,9.190526962280273,通用设备
9,002354,天娱数科,9.819121360778809,8.5,8.51,4655653632,13820415871.5,14063979504.0,34.262245178222656,0.0,094057,5,0/0,10.465116500854492,互联网服
10,603285,键邦股份,7.8895463943481445,27.35,27.89,380167552,1703816933.0,4376000000.0,22.271547317504883,-0.10956902801990509,094232,1,0/0,7.53451681137085,化学制品
11,603171,税友股份,8.012194633483887,88.57,90.2,1439792448,35949677300.0,35989977358.56,4.020412445068359,-0.4607776999473572,095114,9,4/2,11.414634704589844,互联网服
12,600714,金瑞矿业,6.646525859832764,14.12,14.56,682732496,4069048974.7599998,4069048960.64,16.745014190673828,0.1418439745903015,095115,1,0/0,9.44108772277832,化学原料
13,603215,比依股份,9.173871994018555,22.73,22.9,549027616,4255701077.4,4271865994.23,13.014171600341797,0.22045855224132538,095649,2,0/0,9.317963600158691,家电行业
14,002195,岩山科技,10.008339881896973,13.19,13.19,25019458048,73880641981.28,74794615490.56,34.4720344543457,0.07587253302335739,095903,4,8/5,11.75979995727539,互联网服
15,002300,太阳电缆,6.30341911315918,9.95,10.3,1379132224,7186588569.599999,7187220275.2,19.05828857421875,0.0,100057,1,0/0,9.829059600830078,电网设备
16,300622,博士眼镜,14.933662414550781,37.25,38.89,2458600480,5802529461.75,8487567460.0,42.664207458496094,0.0,100421,1,0/0,17.618019104003906,商业百货
17,688419,耐科装备,15.896980285644531,39.15,40.54,422580320,2329798608.45,4484697841.349999,18.39238929748535,0.0,100458,2,0/0,18.73889923095703,专用设备
18,002315,焦点科技,6.10051965713501,61.22,63.47,1962461712,12385740278.42,19421180083.84,15.783995628356934,0.0163371991366148,100630,4,0/0,12.097053527832031,互联网服
19,603255,鼎际得,4.828973770141602,31.26,32.8,146579815,1896708252.48,4207335510.42,7.616614818572998,0.09606147557497025,100706,1,0/0,10.328638076782227,化学制品
20,600825,新华传媒,7.215007305145264,7.43,7.62,727844144,7763516725.5,7763516770.08,9.41763687133789,0.0,101628,2,0/0,10.678211212158203,文化传媒
21,301333,诺思格,19.24686050415039,91.2,91.78,1100724720,5213925340.8,8808210547.2,22.616458892822266,0.0,101657,3,2/1,21.652719497680664,医疗服务
22,600337,美克家居,0.8823530077934265,3.43,3.74,858504432,4928903609.91,4928903633.92,16.6007080078125,-0.2906976640224457,102005,1,8/4,10.29411792755127,装修建材
23,603703,盛洋科技,1.660939335823059,17.75,19.21,1923805808,7365932630.0,7365932772.0,25.242225646972656,0.056369781494140625,102045,2,0/0,11.225658416748047,光学光电
24,603626,科森科技,6.313645839691162,20.88,21.6,1503310592,11585887927.199999,11585888052.48,12.942127227783203,-0.09569378197193146,102203,1,0/0,9.928716659545898,消费电子
25,000892,欢瑞世纪,4.645760536193848,9.01,9.47,1584417840,6404636450.54,8838634124.8,24.49475860595703,0.0,102415,1,0/0,12.77584171295166,文化传媒
26,603232,格尔软件,7.9920477867126465,27.16,27.67,1601297248,6282107864.2,6357672416.2,25.72707748413086,0.0,102556,3,0/0,10.019880294799805,软件开发
27,002945,华林证券,6.765327453613281,20.2,20.81,2662497248,54540000000.0,54540000000.0,4.89790153503418,0.49751242995262146,102957,6,0/0,12.73784351348877,证券
28,603200,上海洗霸,7.499673843383789,82.42,84.34,1439517920,14463070089.26,14463070089.26,10.015863418579102,0.0,103001,1,0/0,10.212599754333496,环保行业
29,688258,卓易信息,9.919570922851562,164.0,179.04,2988499392,19867326868.0,19867326868.0,14.933526039123535,0.0,103043,11,0/0,24.15549659729004,互联网服
30,002605,姚记科技,5.121865272521973,29.76,31.14,1780310944,10036288350.720001,12430191083.52,17.466854095458984,0.0,103136,1,0/0,12.78700065612793,游戏
31,002095,生 意 宝,6.456532955169678,20.94,21.64,763149168,5270774210.1,5291956800.0,14.32628059387207,0.0,103145,3,0/0,10.676156997680664,互联网服
32,601858,中国科传,8.856755256652832,24.09,24.34,1349887760,19043145000.0,19043145000.0,7.1980743408203125,0.0,103310,5,0/0,12.516945838928223,文化传媒
33,600570,恒生电子,6.810580730438232,35.13,36.18,8889744128,66540818762.91,66540818938.560005,13.301238059997559,-0.02845759689807892,103730,4,0/0,10.55031967163086,软件开发
34,002065,东华软件,7.079646110534668,10.89,11.19,4067429392,31667266757.61,34907702987.520004,12.915512084960938,0.09191176295280457,103739,1,0/0,10.422812461853027,软件开发
35,688109,品茗科技,15.19066047668457,148.02,154.2,946759456,11670237246.0,11670237246.0,8.248466491699219,0.0,104048,2,0/0,19.32295799255371,软件开发
36,002712,思美传媒,2.124645948410034,7.21,7.77,814792464,3899890968.33,3924231344.32,20.69152069091797,0.1388888955116272,104636,1,0/0,12.889517784118652,文化传媒
37,600498,烽火通信,7.987364292144775,47.86,48.75,16678136576,60859802884.159996,65001895975.68,28.442649841308594,0.0,105023,18,0/0,18.79512596130371,通信设备
38,688787,海天瑞声,11.295599937438965,183.66,198.02,1977435600,11079322558.8,11079322558.8,18.067615509033203,0.0,105024,2,0/0,24.257665634155273,互联网服
39,600126,杭钢股份,8.11724853515625,9.59,9.76,2772078128,32387243305.97,32387243353.92,8.619494438171387,-0.1041666716337204,105508,2,0/0,10.597519874572754,钢铁行业
40,600633,浙数文化,7.544836521148682,17.39,17.79,3485267440,22051815068.08,22051815207.2,15.974963188171387,0.0,110356,1,0/0,11.688311576843262,游戏
41,603106,恒银科技,6.289308547973633,11.83,12.24,805256624,6157751600.0,6157751600.0,13.095354080200195,0.0,110537,1,0/0,9.97304630279541,计算机设
42,603309,维力医疗,8.258928298950195,14.55,14.78,434998656,4246729131.9,4246729219.2000003,10.301231384277344,0.0,110541,1,0/0,10.193451881408691,医疗器械
43,688356,键凯科技,14.246713638305664,112.99,118.68,652059616,6852922593.0,6852922593.0,9.509836196899414,0.0,110733,1,0/0,16.865520477294922,化学制药
44,000561,烽火电子,7.282693862915039,13.7,14.05,2163600288,9814626857.699999,11837049888.0,22.250179290771484,0.0,111703,4,0/0,12.059514045715332,通信设备
45,000551,创元科技,9.243698120117188,15.6,15.71,1225981488,7534524738.0,7561835424.0,16.798385620117188,-0.06406150013208389,111854,2,0/0,10.504201889038086,环保行业
46,002640,跨境通,7.92291259765625,5.04,5.14,2058547584,7803240505.2,7852528293.12,26.648893356323242,-0.19801980257034302,111945,1,0/0,11.34903621673584,贸易行业
47,600765,中航重机,5.854678630828857,20.25,21.04,3322877936,31438006598.25,31661850240.0,10.53398323059082,-0.14792899787425995,112230,3,0/0,10.611604690551758,航天航空
48,603859,能科科技,7.662624359130859,58.59,59.86,2328970208,14336838301.59,14336838301.59,16.31420135498047,0.1538461595773697,112336,3,0/0,8.710033416748047,软件开发
49,601900,南方传媒,7.9686479568481445,16.53,16.84,1247722704,14578965653.820002,14578965686.880001,8.699237823486328,0.06053268909454346,112917,1,0/0,10.646636009216309,文化传媒
50,002657,中科金财,8.653199195861816,32.27,32.67,2697042416,10846400070.800001,10973478040.000002,25.2855167388916,0.0,112957,2,0/0,10.336700439453125,互联网服
51,600776,东方通信,5.968331336975098,26.1,27.09,5757826816,24951601670.4,32781601670.4,23.67103385925293,-0.03829950466752052,130003,6,10/5,14.69752311706543,通信设备
